a,PRZ
makalaba,VRB
makalakaw,VRB
makalangoy,VRB
makalibang,VRB
makaligo,VRB
makalimot,VRB
makalimpyo,VRB
makalingaw,VRB
makalingkod,VRB
makalukso,VRB
makaluto,VRB
makamata,VRB
makanta,VRB
makaon,VRB
makapadala,VRB
makapahimuot,ADJ
makapahiyom,VRB
makapahulay,VRB
makapalit,VRB
makapaminaw,VRB
makapanglawas,ADJ
makapangutana,VRB
makapatay,VRB
makapatid,VRB
makapauli,VRB
makapili,VRB
makaputol,VRB
makapuyo,VRB
makasabot,VRB
makasakay,VRB
makasayaw,VRB
makasinggit,VRB
makasira,VRB
makasugod,VRB
makasulat,VRB
makasulod,VRB
makasulti,VRB
makasumbag,VRB
makatabang,VRB
makatabi,VRB
makatago,VRB
makatan-aw,VRB
makatawag,VRB
makatindog,VRB
makatrabaho,VRB
makatubag,VRB
makatudlo,VRB
makatukod,VRB
makatulog,VRB
makatuo,VRB
makatuon,VRB
makaulan,VRB
makina,NN
makinaadmanon,NN
makinang igpanglaba,NN
makita,VRB
makuha,VRB
malabhan,VRB
malakaw,VRB
malangoy,VRB
malibang,VRB
maligo,VRB
malimot,VRB
malimpyohan,VRB
malingaw,VRB
malingkuran,VRB
malipayon,ADJ
maluloy-on,ADJ
maluto,VRB
mama,NN
mamahulay,VRB
mamaligya,VRB
mamalik,VRB
mamalit,VRB
mamasa,VRB
mamatay,VRB
mamatay,VRB
mamatid,VRB
mamauli,VRB
mamayad,VRB
mamili,VRB
maminaw,VRB
mamiya,VRB
mamiyahe,VRB
mamuak,VRB
mamuhat,VRB
mamumulong,NN
mamumuo,NN
mamutang,VRB
mamutol,VRB
mamuyo,VRB
manabang,VRB
manabi,VRB
managan,VRB
manago,VRB
manakay,VRB
mananabang,NN
mananagat,NN
mananahi,NN
mananan-aw,NN
mananap,NN
manan-aw,VRB
manawag,VRB
manawat,VRB
manayaw,VRB
mando,NN
mangabli,VRB
mangabot,VRB
mangadto,VRB
mangadungog,VRB
mangahibalo,VRB
mangahigugma,VRB
mangahulog,VRB
mangalibang,VRB
mangaligo,VRB
mangalimot,VRB
mangalingaw,VRB
mangamatay,VRB
manganhi,VRB
mangaon,VRB
mangasakit,VRB
mangatawa,VRB
mangatulog,VRB
mangdala,VRB
mangga,NN
manggakos,VRB
manggamit,VRB
manggasto,VRB
manghalok,VRB
manghatag,VRB
manghigda,VRB
manghikap,VRB
manghilak,VRB
manghilam-os,VRB
manghimo,VRB
manghod,NN
manghugas,VRB
manghulat,VRB
manghunaw,VRB
manghunong,VRB
manginahanglan,VRB
mangita,VRB
mangkanta,VRB
manglaba,VRB
manglakaw,VRB
manglangoy,VRB
manglimpyo,VRB
manglingkod,VRB
manglukso,VRB
mangluto,VRB
mangmata,VRB
manguha,VRB
mangutana,VRB
manguyog,VRB
manindog,VRB
maninggit,VRB
manira,VRB
manok,NN
manok,NN
manrabaho,VRB
mansanas,NN
mantalaan,NN
manubag,VRB
manudlo,VRB
manula,VRB
manulat,VRB
manulod,VRB
manulti,VRB
manunumbong,NN
manununod,NN
manuo,VRB
mao,ADJ
maot,ADJ
mapadala,VRB
mapalit,VRB
mapangutana,VRB
mapatay,VRB
mapatiran,VRB
mapaubsanon,ADJ
maputol,VRB
mapuyo,VRB
marinero,NN
Marso,NN
Martes,NN
martilyo,NN
mas,CADJ
mas daghan,ADJ
mas dyutay,ADJ
mas menos,ADJ
masaba,ADJ
masahe,NN
masakit,ADJ
masakit,VRB
masakiton,ADJ
masayaw,VRB
masira,VRB
maso,NN
masugdan,VRB
masukulon,ADJ
masulod,VRB
masulub-on,ADJ
masuso,NN
mata,NN
mata,VRB
matabangan,VRB
matabangan,VRB
matabangon,ADJ
matagoan,VRB
matalaw,ADJ
matan-aw,VRB
matawag,VRB
matematika,NN
matod,ADV
matrabaho,VRB
matubag,VRB
matudlo,VRB
matukod,VRB
matulog,VRB
matun-an,VRB
matuod,ADJ
mausikon,ADJ
Mayo,NN
mayor,NN
medalya,NN
medesina,NN
medyas,NN
mensahe,NN
merkado,NN
meryenda,NN
mestiso,NN
metro,NN
metro kubiko,NN
metro kwadrado,NN
mga,PZ
miabli,VRB
miabot,VRB
miadto,VRB
miagi,ADJ
mianhi,VRB
mibaligya,VRB
mibalik,VRB
mibasa,VRB
mibayad,VRB
mibiya,VRB
mibiyahe,VRB
midagan,VRB
midala,VRB
midula,VRB
migakos,VRB
migamit,VRB
migasto,VRB
mihalok,VRB
mihatag,VRB
mihigda,VRB
mihikap,VRB
mihilak,VRB
mihimo,VRB
mihugas,VRB
mihulat,VRB
mihulog,VRB
mihunong,VRB
miingon,VRB
miinom,VRB
mikanta,VRB
mikaon,VRB
mikatawa,VRB
miki,NN
mikuyog,VRB
milangoy,VRB
miligramo,NN
mililitro,NN
milimetro,NN
milimetro kubiko,NN
milimetro kwadrado,NN
milingaw,VRB
milingkod,VRB
milukso,VRB
miluto,VRB
milya,NN
milya kubiko,NN
milya kwadrado,NN
miming,NN
minahan,NN
minuto,NN
mipadala,VRB
mipahiyom,VRB
mipahulay,VRB
mipalit,VRB
mipatay,VRB
mipatid,VRB
mipauli,VRB
mipili,VRB
miputol,VRB
mipuyo,VRB
misa,NN
misakay,VRB
misakit,VRB
misayaw,VRB
misinggit,VRB
misira,VRB
misugod,VRB
misulat,VRB
misulod,VRB
misulti,VRB
misumbag,VRB
misyonero,NN
mitabang,VRB
mitabi,VRB
mitago,VRB
mitan-aw,VRB
mitawag,VRB
mitindog,VRB
mitrabaho,VRB
mitubag,VRB
mitudlo,VRB
mituo,VRB
mituon,VRB
miulan,VRB
moabli,VRB
moabot,VRB
moadto,VRB
moanhi,VRB
mobaligya,VRB
mobalik,VRB
mobasa,VRB
mobayad,VRB
mobiya,VRB
mobiyahe,VRB
modagan,VRB
modala,VRB
modula,VRB
mogakos,VRB
mogamit,VRB
mogasto,VRB
mohalok,VRB
mohatag,VRB
mohigda,VRB
mohikap,VRB
mohilak,VRB
mohimo,VRB
mohugas,VRB
mohulat,VRB
mohulog,VRB
mohunong,VRB
moingon,VRB
moinom,VRB
mokanta,VRB
mokaon,VRB
mokatawa,VRB
mokuyog,VRB
molangoy,VRB
molingaw,VRB
molingkod,VRB
molukso,VRB
moluto,VRB
momata,VRB
monyeka,NN
mopadala,VRB
mopahiyom,VRB
mopahulay,VRB
mopalit,VRB
mopatay,VRB
mopatid,VRB
mopauli,VRB
mopili,VRB
moputol,VRB
mopuyo,VRB
Moro,NN
mosakay,VRB
mosakit,VRB
mosayaw,VRB
mosinggit,VRB
mosira,VRB
mosugod,VRB
mosulat,VRB
mosulod,VRB
mosulti,VRB
mosumbag,VRB
motabang,VRB
motabi,VRB
motago,VRB
motan-aw,VRB
motawag,VRB
motindog,VRB
motorsiklo,NN
motrabaho,VRB
motubag,VRB
motudlo,VRB
motuo,VRB
motuon,VRB
moulan,VRB
mubo,NN
mubo,ADJ
mubo-mubo,DAJ
mudista,NN
munggo,NN
musika,NN
Myerkoles,NN
na,LK
naabli,VRB
naabot,VRB
naandan,ADJ
nabaligya,VRB
nabasa,VRB
nabasag,ADJ
nabayad,VRB
nabuak,VRB
nabuak,VRB
nabuhat,VRB
nabutang,VRB
nadala,VRB
nadawat,VRB
nadula,VRB
nadungog,VRB
nagaabli,VRB
nagabaligya,VRB
nagabasa,VRB
nagabayad,VRB
nagabiyahe,VRB
nagabli,VRB
nagabuhat,VRB
nagabutang,VRB
nagadagan,VRB
nagadala,VRB
nagadula,VRB
nagagakos,VRB
nagagamit,VRB
nagahalok,VRB
nagahatag,VRB
nagahigda,VRB
nagahikap,VRB
nagahilak,VRB
nagahimo,VRB
nagahugas,VRB
nagahulat,VRB
nagahulog,VRB
nagahunahuna,VRB
nagahunong,VRB
nagainom,VRB
nagakanta,VRB
nagakaon,VRB
nagakatawa,VRB
nagakos,VRB
nagakuha,VRB
nagalakaw,VRB
nagalangoy,VRB
nagalingaw,VRB
nagalingkod,VRB
nagaluto,VRB
nagamata,VRB
nagamit,VRB
nagapadala,VRB
nagapahiyom,VRB
nagapahulay,VRB
nagapalit,VRB
nagapatay,VRB
nagapatid,VRB
nagapili,VRB
nagaputol,VRB
nagapuyo,VRB
nagasakay,VRB
nagasakit,VRB
nagasayaw,VRB
nagasinggit,VRB
nagasira,VRB
nagasto,VRB
nagasugod,VRB
nagasulat,VRB
nagasulod,VRB
nagasulti,VRB
nagasumbagay,VRB
nagatabang,VRB
nagatabi,VRB
nagatago,VRB
nagatan-aw,VRB
nagatawag,VRB
nagatindog,VRB
nagatrabaho,VRB
nagatubag,VRB
nagatudlo,VRB
nagatukod,VRB
nagatuo,VRB
nagatuon,VRB
nagaulan,VRB
nagbaligya,VRB
nagbasa,VRB
nagbayad,VRB
nagbiyahe,VRB
nagbuhat,VRB
nagbutang,VRB
nagdagan,VRB
nagdala,VRB
nagdaot,ADJ
nagdula,VRB
naggakos,VRB
naggamit,VRB
naghalok,VRB
naghatag,VRB
naghigda,VRB
naghikap,VRB
naghilak,VRB
naghimo,VRB
naghugas,VRB
naghulat,VRB
naghulog,VRB
naghunahuna,VRB
naghunong,VRB
naginom,VRB
nagkanta,VRB
nagkaon,VRB
nagkatawa,VRB
nagkinahanglan,VRB
nagkita,VRB
nagkuha,VRB
nagkuyog,VRB
naglagot,ADJ
naglakaw,VRB
naglangoy,VRB
naglingaw,VRB
naglingkod,VRB
nagluto,VRB
nagmata,ADJ
nagmata,VRB
nagpadala,VRB
nagpahiyom,VRB
nagpahulay,VRB
nagpalit,VRB
nagpatay,VRB
nagpatid,VRB
nagpili,VRB
nagputol,VRB
nagpuyo,VRB
nagsakay,VRB
nagsakit,VRB
nagsayaw,VRB
nagsinggit,VRB
nagsira,VRB
nagsugod,VRB
nagsulat,VRB
nagsulod,VRB
nagsulti,VRB
nagsumbagay,VRB
nagtabang,VRB
nagtabi,VRB
nagtago,VRB
nagtan-aw,VRB
nagtawag,VRB
nagtindog,VRB
nagtrabaho,VRB
nagtubag,VRB
nagtudlo,VRB
nagtukod,VRB
nagtuo,VRB
nagtuon,VRB
naguba,ADJ
nagulan,VRB
nagwas,NN
nahadlok,ADJ
nahatag,VRB
nahibalo,VRB
nahigugma,VRB
nahikap,VRB
nahimo,VRB
nahinumdom,VRB
nahinumdoman,VRB
nahitabo,VRB
nahugasan,VRB
nahulat,VRB
nahulog,VRB
nahulog,VRB
nahuman,VRB
nahuman,VRB
nahunahuna,VRB
nailhan,VRB
nailhan,VRB
nainom,VRB
nakaabli,VRB
nakaabot,VRB
nakaadto,VRB
nakaanhi,VRB
nakabaligya,VRB
nakabalik,VRB
nakabasa,VRB
nakabayad,VRB
nakabiya,VRB
nakabiyahe,VRB
nakabuak,VRB
nakabuhat,VRB
nakabutang,VRB
nakadagan,VRB
nakadala,VRB
nakadawat,VRB
nakadula,VRB
nakadungog,VRB
nakagakos,VRB
nakagamit,VRB
nakagasto,VRB
nakahalok,VRB
nakahatag,VRB
nakahibalo,VRB
nakahigda,VRB
nakahigugma,VRB
nakahikap,VRB
nakahilak,VRB
nakahilam-os,VRB
nakahimo,VRB
nakahinumdom,VRB
nakahugas,VRB
nakahulat,VRB
nakahulog,VRB
nakahuman,VRB
nakahunahuna,VRB
nakahunaw,VRB
nakahunong,VRB
nakaila,VRB
nakaingon,VRB
nakainom,VRB
nakakanta,VRB
nakakaon,VRB
nakakatawa,VRB
nakakita,VRB
nakakuha,VRB
nakakuyog,VRB
nakalaba,VRB
nakalakaw,VRB
nakalangoy,VRB
nakalibang,VRB
nakaligo,VRB
nakalimot,VRB
nakalimpyo,VRB
nakalingaw,VRB
nakalingkod,VRB
nakalukso,VRB
nakaluto,VRB
nakamata,VRB
nakanta,VRB
nakaon,VRB
nakapadala,VRB
nakapahiyom,VRB
nakapahulay,VRB
nakapalit,VRB
nakapaminaw,VRB
nakapangutana,VRB
nakapatay,VRB
nakapatid,VRB
nakapauli,VRB
nakapili,VRB
nakaputol,VRB
nakapuyo,VRB
nakasabot,VRB
nakasakay,VRB
nakasayaw,VRB
nakasinggit,VRB
nakasira,VRB
nakasugod,VRB
nakasulat,VRB
nakasulod,VRB
nakasulti,VRB
nakasumbag,VRB
nakatabang,VRB
nakatabi,VRB
nakatago,VRB
nakatan-aw,VRB
nakatawag,VRB
nakatindog,VRB
nakatrabaho,VRB
nakatubag,VRB
nakatudlo,VRB
nakatukod,VRB
nakatulog,VRB
nakatuo,VRB
nakatuon,VRB
nakaulan,VRB
nakita,VRB
nako,NNP
nakuha,VRB
nalabhan,VRB
nalakaw,VRB
nalangan,ADJ
nalangoy,VRB
nalibang,VRB
naligo,VRB
nalimot,VRB
nalimpyohan,VRB
nalingaw,VRB
nalingkuran,VRB
naluto,VRB
namahulay,VRB
namaligya,VRB
namalik,VRB
namalit,VRB
namasa,VRB
namatay,VRB
namatay,VRB
namatid,VRB
namauli,VRB
namayad,VRB
namili,VRB
naminaw,VRB
namiya,VRB
namiyahe,VRB
namo,NNP
namuak,VRB
namuhat,VRB
namutang,VRB
namutol,VRB
namuyo,VRB
nanabang,VRB
nanabi,VRB
nanagan,VRB
nanago,VRB
nanakay,VRB
nanan-aw,VRB
nanawag,VRB
nanawat,VRB
nanay,NN
nanayaw,VRB
nangabli,VRB
nangabot,VRB
nangadto,VRB
nangadungog,VRB
nangahibalo,VRB
nangahigugma,VRB
nangahulog,VRB
nangaligo,VRB
nangalimot,VRB
nangalingaw,VRB
nangamatay,VRB
nanganhi,VRB
nangaon,VRB
nangasakit,VRB
nangatawa,VRB
nangatulog,VRB
nangdala,VRB
nanggakos,VRB
nanggamit,VRB
nanggasto,VRB
nanghalok,VRB
nanghatag,VRB
nanghigda,VRB
nanghikap,VRB
nanghilak,VRB
nanghilam-os,VRB
nanghimo,VRB
nanghugas,VRB
nanghulat,VRB
nanghunaw,VRB
nanghunong,VRB
nanginahanglan,VRB
nangita,VRB
nangka,NN
nangkanta,VRB
nanglaba,VRB
nanglakaw,VRB
nanglangoy,VRB
nanglibang,VRB
nanglimpyo,VRB
nanglingkod,VRB
nanglukso,VRB
nangluto,VRB
nangmata,VRB
nanguha,VRB
nangutana,VRB
nanguyog,VRB
nanindog,VRB
naninggit,VRB
nanira,VRB
nanrabaho,VRB
nanubag,VRB
nanudlo,VRB
nanula,VRB
nanulat,VRB
nanulod,VRB
nanulti,VRB
nanuo,VRB
napadala,VRB
napalit,VRB
napangutana,VRB
napatay,VRB
napatiran,VRB
napkin,NN
napulo,NBR
napulo ka libo,NBR
napulog,NBR
napulog duha,NBR
napulog lima,NBR
napulog pito,NBR
napulog siyam,NBR
napulog tulo,NBR
napulog unom,NBR
napulog upat,NBR
napulog walo,NBR
naputol,VRB
napuyo,VRB
nars,NN
nasakit,VRB
nasayaw,VRB
nasira,VRB
nasugdan,VRB
nasuko,ADJ
nasulod,VRB
nasyonalidad,NN
natagbaw,ADJ
natagoan,VRB
natan-aw,VRB
nataran,NN
natawag,VRB
nato,NNP
natrabaho,VRB
natubag,VRB
natudlo,VRB
natukod,VRB
natulog,VRB
natun-an,VRB
nawong,NN
negosyante,NN
negosyo,NN
ng,LK
nga,LK
pila,QNT
buok,UNT
abuhon,CLR
kaayo,IADJ
asul,CLR
berde,CLR
dalag,CLR
itom,CLR
morado,CLR
pula,CLR
puti,CLR
rosa,CLE
ngabil,NN
ngadto,TO
ngalan,NN
ngil-ad,NN
ngil-ad,ADJ
ngipon,NN
ngitngit,NN
ngitngit,ADJ
ni,OF
niabli,VRB
niabot,VRB
niadto,VRB
niadtong,PRZ
nianang,PRZ
nianang panahona,ADV
nianhi,VRB
nibaligya,VRB
nibalik,VRB
nibasa,VRB
nibayad,VRB
nibiya,VRB
nibiyahe,VRB
nidagan,VRB
nidala,VRB
nidula,VRB
nigakos,VRB
nigamit,VRB
nigasto,VRB
nigro,NN
nihalok,VRB
nihatag,VRB
nihigda,VRB
nihikap,VRB
nihilak,VRB
nihimo,VRB
nihugas,VRB
nihulat,VRB
nihulog,VRB
nihunong,VRB
niingon,VRB
niining,PRZ
niinom,VRB
nikanta,VRB
nikaon,VRB
nikatawa,VRB
nikuyog,VRB
nila,NNP
nilangoy,VRB
nilingaw,VRB
nilingkod,VRB
nilukso,VRB
niluto,VRB
nimata,VRB
nimo,NNP
ninang,NN
nindot,ADJ
ninong,NN
ninyo,NNP
nipadala,VRB
nipahiyom,VRB
nipahulay,VRB
nipalit,VRB
nipatay,VRB
nipatid,VRB
nipauli,VRB
nipili,VRB
nipis,NN
nipis,ADJ
niputol,VRB
nipuyo,VRB
nisakay,VRB
nisakit,VRB
nisayaw,VRB
nisinggit,VRB
nisira,VRB
nisugod,VRB
nisulat,VRB
nisulod,VRB
nisulti,VRB
nisumbag,VRB
nitabang,VRB
nitabi,VRB
nitago,VRB
nitan-aw,VRB
nitawag,VRB
nitindog,VRB
nitrabaho,VRB
nitubag,VRB
nitudlo,VRB
nituo,VRB
nituon,VRB
niulan,VRB
niwang,ADJ
niya,NNP
nobela,NN
nobya,NN
Nobyembre,NN
nobyo,NN
noodles,NN
norte,NN
nyebe,NN
obispo,NN
obre,NN
og,NNI
Oktobre,NN
onion,NN
onsa,NN
opisina,NN
opisina sa koreyo,NN
oras,NN
ordinaryo,ADJ
Oropa,NN
Oropanhon,NN
oso,NN
ospital,NN
paa,NN
pabo,NN
paborito,ADJ
padad-anan,NN
padala,VRB
padalhan,VRB
padalhi,VRB
padulong,TO
pagabli,VRB
pagabot,NN
pagabot,VRB
pagadto,VRB
pagampo,NN
paganhi,VRB
pagba sa adlaw,NN
pagbaligya,VRB
pagbalik,VRB
pagbasa,NN
pagbasa,VRB
pagbasabasa,NN
pagbayad,NN
pagbayad,VRB
pagbiya,VRB
pagbiyahe,VRB
pagbuhat,VRB
pagbunyag,NN
pagbutang,VRB
pagdagan,VRB
pagdala,VRB
pagdula,VRB
pag-eskwela,NN
paggakos,VRB
paggamit,VRB
paggasto,VRB
paggraduwar,NN
paghalok,VRB
paghatag,VRB
paghigda,VRB
paghikap,VRB
paghilak,VRB
paghimo,VRB
paghubad,NN
paghugas,VRB
paghulat,VRB
paghulog,VRB
paghunahuna,NN
paghunahuna,VRB
paghunong,VRB
paginom,VRB
pagkaandam,NN
Pagkabanhaw,NN
pagkabata,NN
pagkabatan-on,NN
pagkahuman,ADV
pagkamatay,NN
pagkanta,VRB
pagkaon,NN
pagkaon,VRB
pagkatawo,NN
pagkatigulan,NN
pagkatigulang,NN
pagkatulog,VRB
pagkaulahi,NN
pagkuha,VRB
paglakaw,VRB
paglangoy,VRB
paglingaw-lingaw,VRB
paglingkod,VRB
paglitok,NN
paglungsuranon,NN
pagluto,VRB
pagmata,VRB
pagpadala,VRB
pagpahiyom,VRB
pagpalit,VRB
pagpanamkon,NN
pagpanganak,NN
pagpili,VRB
pagpuasa,NN
pagputol,VRB
pagsakay,VRB
pagsalop sa adlaw,NN
pagsayaw,VRB
pagsubang sa adlaw,NN
pagsugod,VRB
pagsulat,NN
pagsulat,VRB
pagtabi,VRB
pagtago,VRB
pagtolonan,NN
pagtudlo,VRB
pagtugyan,NN
pagtukod,VRB
pagtuon,NN
pagtuon,VRB
pag-umangkong,NN
pagusab,ADV
pahamot,NN
pahiyom,VRB
pahiyuman,VRB
pahiyumi,VRB
pahulay,VRB
pahulayan,VRB
pahulayi,VRB
paingon,TO
pait,NN
pait,ADJ
pakamiganan,NN
pakang,NN
pakigpulong,NN
pakigsabot,NN
pakigsulti,NN
palad,NN
palad,NN
palansa,NN
palaran,ADJ
palda,NN
palid,NN
palikero,NN
palis,NN
palit,NN
palit,VRB
palita,VRB
palitan,VRB
paliti,VRB
paliton,VRB
pamahaw,NN
pamanhunon,NN
pamatigayon,NN
pamilya,NN
paminaw,VRB
paminawa,VRB
paminawon,VRB
paminta,NN
pan,NN
panahon,NN
panahon,NN
panakayang iggugubat,NN
panaksan,NN
panapton,NN
panaw,NN
panday,NN
panganod,NN
pangataki,NN
panghilam-os,VRB
panghunaw,VRB
pangit,ADJ
pangita,NN
pangita,VRB
pangitaa,VRB
pangitaan,VRB
pangitai,VRB
pangitaon,VRB
panglaba,VRB
panglawas,NN
panglimpyo,VRB
pangpang,NN
pangutana,NN
pangutan-a,VRB
pangutan-on,VRB
panid,NN
panihapon,NN
panimalay,NN
panit,NN
paniudto,NN
pantalan,NN
panuigon,NN
panunan sa balay,NN
panunanan,NN
panyo,NN
papa,NN
papel,NN
para,FOR
parada,NN
paradahan sa dyip,NN
parapo,NN
parat,ADJ
pareho,ADJ
Parenhayt,NN
pari,NN
parke,NN
parol,NN
parti,NN
paryente,NN
pasahe,NN
pasahero,NN
pasaporte,NN
pasas,NN
pasayan,NN
Pasko,NN
paspas,ADJ
pasulit,NN
pasundayag,NN
patag,NN
patatas,NN
patay,NN
patay,ADJ
patayan,VRB
patayi,VRB
patik,NN
patiran,VRB
patiri,VRB
pato,NN
patya,VRB
patyon,VRB
pauli,VRB
payong,NN
Pebrero,NN
peligroso,ADJ
persentahe,NN
peryodiko,NN
petsa,NN
pikoy,NN
pila,ADJ
pili,VRB
pilia,VRB
pilian,VRB
pilii,VRB
pilion,VRB
Pilipina,NN
Pilipinas,NN
Pilipino,NN
pilok,NN
piloto,NN
pinaagi,PREP
pinaagi niana,ADV
pinaka,SADJ
pinakadautan,ADJ
pinalabi,ADJ
pinangga,NN
Pinay,NN
pinggan,NN
pingganan,NN
piniritong manok,NN
Pinoy,NN
pintura,NN
pinuy-anan,NN
pinya,NN
piot,ADJ
pipila,ADJ
pipila,ADJ
pirmi,ADV
pisara,NN
piso,NN
pista,NN
pistola,NN
pitaka,NN
pito,NBR
pito ka gatos,NBR
pito ka libo,NBR
pit-os,ADJ
plano,NN
plasa,NN
plata,NN
plato,NN
plete,NN
pluma,NN
pobre,ADJ
pod,ADV
poet,NN
politiko,NN
pomada,NN
porsyento,NN
pos opis,NN
posporo,NN
Pranses,NN
Pransya,NN
preparedness,NN
presidente,NN
presyo,NN
primero,ADJ
Prinanses,NN
prinsipal,NN
prisuhan,NN
probinsya,NN
probinsyano,NN
problema,NN
programa,NN
propesor,NN
Protestante,NN
proyekto,NN
prutas,NN
puday,NN
pugaran,NN
pugong,NN
puhon,ADV
pulgada,NN
pulgada kubiko,NN
pulgada kwadrado,NN
pulinganan,NN
pulis,NN
pulis,NN
pulo,NN
pulo,NN
pulong,NN
pulong,NN
pulseras,NN
pulso,NN
pultahan,NN
punlas,NN
pusil,NN
pusod,NN
pusta,NN
puta,NN
putbol,NN
puthaw,NN
putla,VRB
putlan,VRB
putli,NN
putli,ADJ
putli,VRB
putlon,VRB
putos,NN
putyukan,NN
puy-an,VRB
puy-i,VRB
puyo,NN
puyo,VRB
pwerta,NN
pyano,NN
pye,NN
pye kubiko,NN
pye kwadrado,NN
pyesta,NN
radyo,NN
rayna,NN
regalo,NN
relihiyon,NN
relo,NN
repolyo,NN
restawran,NN
rinyon,NN
riple,NN
roska,NN
sa,NNI
sa,OF
sa,PREP
sa adlaw sunod ugma,ADV
sa adlawng una gahapon,ADV
sa adlawng una kagahapon,ADV
sa atbang,PREP
sa atubangan,PREP
sa bisan asa,ADV
sa bisan diin,ADV
sa bisan kanus-a,ADV
sa bisan unsang paagiha,ADV
sa daplin,PREP
sa dili pa,PREP
sa gawas,ADV
sa gawas,PREPs
sa ibabaw,PREP
sa ibabaw,PREP
sa ilalom,PREP
sa itaas,PREP
sa kalit,ADV
sa kilid,PREP
sa likod,PREP
sa luyo,PREP
sa sulod,ADV
sa sulod,PREP
sa taliwala,PREP
sa tunga,PREP
sa tupad,PREP
sa ubos,PREP
sa umalabot,ADV
sa usa ka dapit,ADV
sa usa ka paagi,ADV
sa wala pa,PREP
sa walay,PREP
sab,ADV
saba,NN
sabaan,ADJ
Sabado,NN
sabaw,NN
sabon,NN
sabta,VRB
sabton,VRB
sagbot,NN
saging,NN
sakay,VRB
sakit,NN
sakita,VRB
sakiton,VRB
sakyan,VRB
sakyanan,NN
sakyi,VRB
sala,NN
salapi,NN
salbahis,ADJ
salida,NN
salog,NN
salog nga kahoy,NN
salo-salo,NN
sama,ADJ
sampot,NN
sandalyas,NN
sapa,NN
sapatos,NN
sapian,ADJ
sapot,NN
saring,NN
Saturday,NN
saulog,NN
saya,NN
sayaw,NN
sayaw,VRB
sayawa,VRB
sayawan,VRB
sayawi,VRB
sayawon,VRB
sayo,ADJ
sayon,NN
sayon,ADJ
sayop,ADJ
segundo,NN
sekretaryo,NN
seksi,ADJ
selyo,NN
semana,NN
Semana Santa,NN
semestre,NN
sentensya,NN
sentigrado,NN
sentimetro,NN
sentimetro kubiko,NN
sentimetro kwadrado,NN
Septembre,NN
serbesa,NN
serbilyeta,NN
seryuso,ADJ
sibuyas,NN
sida,NN
sidlakan,NN
sid-ok,NN
siga,NN
sigarilyo,NN
siglo,NN
siko,NN
sila,NNP
silangan,NN
sili,NN
silingan,NN
silong,NN
simbahan,NN
sine,NN
sinehan,NN
singgit,VRB
singgita,VRB
singgitan,VRB
singgiti,VRB
singgiton,VRB
singot,NN
singsing,NN
sinina,NN
sinirhan,ADJ
sintabo,NN
sinturon,NN
Sinugbuanon,NN
sinulat,NN
sirado,ADJ
sirha,VRB
sirhan,VRB
sirhi,VRB
sirhon,VRB
sista,NN
siya,NN
siya,NNP
siyam,NBR
siyam ka gatos,NBR
siyam ka libo,NBR
sobre,NN
sopa,NN
suba,NN
submarino,NN
subo,ADJ
subo,NN
sud-an,NN
sudla,VRB
sudlan,VRB
sudlanan,NN
sudlay,NN
sudli,VRB
sudlon,VRB
suga,NN
sugaan,NN
Sugbo,NN
Sugbuanon,NN
sugdan,VRB
sugdi,VRB
sugid,NN
sugilambong,NN
sugilanon,NN
sugo,NN
sugod,VRB
suheto,NN
sukad pa,PREP
sulat,NN
sulat,NN
sulata,VRB
sulatan,VRB
sulati,VRB
sulaton,VRB
suliran,NN
sulod,PREP
sulod,NN
sulod,VRB
sulti,VRB
sultihan,VRB
sultihi,VRB
sumasakay,NN
sumbaga,VRB
sumbagon,VRB
sumbong,NN
sundalo,NN
sundalo,NN
sunod,ADJ
sunod,NN
sunod bulan,ADV
sunod semana,ADV
sunod tuig,ADV
sunoy,NN
supak,PREP
sur,NN
suso,NN
suwang,NN
sweldo,NN
swerte,NN
swertihan,ADJ
Syudad sa Sugbo,NN
taas,ADJ
taas,NN
taas-taas,DAJ
taay,NN
tabang,NN
tabang,VRB
tabangan,VRB
tabangi,VRB
tabi-an,ADJ
tabili,NN
tabon-tabon,NN
tabuanan,NN
tabugok,NN
tae,NN
Tagalog,NN
tago,VRB
tagoa,VRB
tagoan,VRB
tagoi,VRB
tagoon,VRB
tahi,NN
tai,NN
takdol sa bulan,NN
takna,NN
taksi,NN
talad,NN
talad-sulatanan,NN
talagsaon,ADJ
talawan,NN
taligsik,NN
talisik,NN
talisik,NN
talithi,NN
taliti,NN
talong,NN
taluto,NN
tambal,NN
tambok,ADJ
tam-is,ADJ
tam-is,NN
tanaman,NN
tanan,ADJ
tan-aw,NN
tan-aw,VRB
tan-awa,VRB
tan-awan,VRB
tan-awi,VRB
tan-awon,VRB
tanghon,NN
tangkal,NN
tangkugo,NN
tanom,NN
taob,NN
tapos sa semana,NN
tapulan,ADJ
tapulan,NN
tarheta,NN
tarong,ADJ
tasa,NN
taslakan,ADJ
tatay,NN
tawga,VRB
tawgan,VRB
tawgi,VRB
tawgon,VRB
tawo,NN
tawo,NN
tawo,NN
taya,NN
telebisyon,NN
telepono,NN
temperatura,NN
tenedor,NN
termometro,NN
teyatro,NN
tibuok,NN
tibuok,ADJ
tig-alagad,NN
tigbakay,NN
tigre,NN
tigulang,NN
tigulang,ADJ
tiil,NN
tiket,NN
tiki,NN
timbang,NN
timo,NN
Tinagalog,NN
